DayOfYear,MinuteOfDay,Duration
10,1039,0.17
10,1039,0.18
10,1039,0.13
10,1039,0.1
10,1040,0.25
10,1040,0.07
10,1041,0.1
10,1041,0.16
10,1042,0.11
10,1042,0.1
10,1042,0.17
10,1042,0.06
10,1055,0.48
10,1269,0.2
10,1286,0.16
10,1286,0.16
10,1321,0.12
11,115,0.26
11,115,0.35
11,740,0.18
11,740,0.12
11,740,0.12
11,741,0.12
11,747,0.14
11,747,0.16
11,775,0.08
11,775,0.11
11,776,0.15
11,777,0.18
11,777,0.11
11,777,0.07
11,779,0.12
11,783,0.12
11,783,0.03
11,796,0.07
11,800,0.16
11,883,0.05
11,884,0.25
12,921,0.32
12,921,0.07
12,921,0.12
12,999,0.06
12,1000,0.04
12,1000,0.03
12,1000,0.03
12,1000,0.03
12,1000,0.03
12,1000,0.03
12,1000,0.03
12,1000,0.04
12,1000,0.11
12,1000,0.22
12,1000,0.07
12,1000,0.11
12,1001,0.12
12,1002,0.02
12,1024,0.09
12,1024,0.18
12,1026,0.01
12,1028,0.83
12,1029,0.22
12,1029,4.21
12,1029,2.06
12,1043,0.12
12,1043,0.16
12,1048,0.12
12,1052,0.23
12,1053,0.17
12,1055,0.24
12,1055,0.07
12,1109,0.36
12,1335,0.16
12,1338,0.22
12,1341,0.16
12,1342,0.13
12,1342,0.12
12,1342,0.05
12,1342,0.12
12,1343,0.16
13,112,0.26
13,146,0.08
13,146,0.07
13,147,0.02
13,148,0.07
13,149,0.14
13,149,0.08
13,150,0.14
13,186,0.2
13,755,0.03
13,758,0.18
13,760,0.51
13,767,0.26
13,769,0.1
13,772,0.1
13,772,0.11
13,786,0.14
13,839,0.16
13,845,0.12
13,845,0.12
13,1036,0.22
13,1049,0.12
13,1049,0.12
13,1079,0.13
13,1079,0.09
13,1080,0.15
13,1080,0.12
13,1128,0.02
13,1128,0.02
13,1132,0.03
13,1159,0.12
13,1159,0.12
13,1235,0.07
13,1236,0.06
14,830,0.22
14,980,0.16
14,1398,0.13
14,1399,0.17
14,1399,0.12
14,1399,0.07
14,1399,0.07
14,1399,0.04
14,1403,0.1
14,1403,0.14
14,1407,0.85
14,1407,0.11
14,1408,0.12
14,1408,0.05
15,12,0.06
15,58,0.02
15,58,0.12
15,186,0.16
15,186,0.14
15,831,0.14
15,831,0.14
15,1109,0.12
15,1109,0.27
15,1110,0.12
16,586,0.12
16,586,0.01
16,586,0.02
16,586,0.12
16,630,0.09
16,932,0.13
16,934,0.14
16,1058,0.48
16,1060,0.06
16,1061,0.02
16,1063,0.34
16,1080,0.06
16,1235,0.24
16,1235,0.16
16,1297,0.12
16,1300,0.1
16,1327,0.03
16,1327,0.14
16,1329,0.16
16,1329,0.18
16,1333,0.12
16,1333,0.12
16,1333,0.12
17,151,0.16
17,155,0.12
17,155,0.03
17,162,0.18
17,178,0.18
17,681,0.1
17,681,0.05
17,1041,0.16
17,1048,0.2
17,1048,0.33
17,1049,0.02
17,1050,0.02
17,1128,0.07
17,1128,0.12
17,1150,0.14
17,1151,0.15
17,1152,0.15
17,1152,0.1
17,1357,0.1
17,1358,0.14
17,1391,0.39
18,606,0.36
18,654,0.11
18,852,0.2
18,852,0.06
18,1137,0.17
18,1138,0.39
18,1139,0.64
18,1141,0.14
18,1143,0.07
18,1161,0.14
18,1161,0.12
18,1161,0.31
18,1163,0.03
18,1163,0.39
18,1163,0.06
18,1164,0.04
18,1165,4.06
18,1165,0.12
18,1166,0.04
18,1247,0.18
18,1255,0.04
18,1255,0.12
18,1256,0.14
18,1256,0.12
18,1335,0.14
18,1388,0.12
18,1389,0.12
18,1390,0.12
18,1390,0.03
18,1393,0.09
18,1394,0.07
18,1394,0.12
18,1394,0.07
18,1394,0.12
18,1395,0.04
18,1395,0.18
18,1426,0.14
18,1426,0.12
18,1426,0.17
18,1429,0.17
18,1429,0.12
18,1435,0.13
19,68,0.14
19,69,0.12
19,152,0.27
19,152,0.25
19,153,0.03
19,153,0.08
19,161,0.07
19,161,0.08
19,1099,0.04
19,1110,0.13
19,1110,0.16
19,1115,0.4
19,1118,0.19
19,1118,0.17
20,12,0.1
20,12,0.1
20,15,0.07
20,91,0.1
20,928,0.22
20,928,0.16
20,928,0.12
20,929,0.12
20,930,0.12
20,930,0.12
20,964,0.12
20,964,0.12
20,978,0.16
20,979,0.12
20,979,0.12
20,980,0.09
20,980,0.12
20,980,0.09
20,980,0.12
20,1088,0.1
20,1088,0.16
20,1088,0.07
20,1089,0.03
20,1094,0.15
20,1094,0.04
20,1096,0.09
20,1096,0.01
20,1100,0.08
20,1100,0.11
20,1100,0.28
20,1110,0.23
20,1110,0.12
20,1269,0.1
20,1269,0.12
20,1430,0.09
20,1430,0.12
20,1432,0.24
20,1432,0.12
20,1434,0.18
21,20,0.14
21,739,0.28
21,744,0.12
21,919,0.36
21,930,0.12
21,961,0.12
22,677,0.08
22,909,0.28
22,909,0.12
22,909,0.14
22,909,0.12
22,929,0.12
22,1092,0.31
22,1092,0.23
22,1092,0.12
22,1093,0.12
22,1104,0.08
22,1104,0.12
22,1265,0.21
22,1265,0.1
22,1301,0.12
22,1343,0.11
22,1421,0.12
23,514,0.18
23,609,0.2
23,610,0.07
23,611,0.07
23,611,0.12
23,612,0.12
23,613,0.12
23,615,0.12
23,617,0.17
23,617,0.3
23,618,0.27
23,619,0.59
23,619,0.09
23,630,0.18
23,637,0.02
23,809,0.09
23,817,0.25
23,817,0.14
23,828,0.13
23,841,0.39
23,850,0.17
23,850,0.1
23,1113,0.13
23,1113,0.14
23,1115,0.12
23,1120,0.11
23,1125,0.09
23,1125,0.03
23,1131,0.12
23,1131,0.3
23,1133,0.31
23,1133,0.15
23,1134,0.39
23,1259,0.18
23,1369,0.12
23,1382,0.12
23,1415,0.03
23,1415,0.12
24,111,0.19
24,572,0.05
24,575,0.12
24,575,0.12
24,575,0.12
24,614,0.12
24,614,0.12
24,616,0.12
24,616,0.12
24,616,0.12
24,617,0.12
24,617,0.12
24,836,0.27
24,836,0.12
24,1131,0.04
24,1168,0.21
24,1171,0.07
24,1171,0.12
24,1413,0.2
24,1415,0.29
24,1415,0.12
25,18,0.17
25,25,0.13
25,25,0.22
25,27,0.12
25,27,0.13
25,536,0.16
25,1055,0.45
25,1055,0.06
25,1056,0.09
25,1056,0.2
25,1089,0.27
25,1089,0.12
25,1124,0.29
